sector,transaction_count,median_price,mean_price,p25_price,p75_price,ew_percentile,low_transaction_count,min_sales_threshold
B14 4,411,229000.0,230794.43552311434,200000.0,265000.0,31.183842316583526,False,20
B14 5,267,222000.0,219133.2734082397,175500.0,257000.0,29.237133471225206,False,20
B14 6,387,265000.0,277582.68217054266,183750.0,345000.0,42.18274729285801,False,20
B14 7,299,308950.0,326196.11036789295,260000.0,380000.0,53.40065701423531,False,20
B15 1,41,225000.0,319439.48780487804,185000.0,288000.0,30.143569777345174,False,20
B15 2,196,226250.0,414029.5663265306,160000.0,445281.25,30.672831244676967,False,20
B15 3,206,362500.0,496368.93203883496,200000.0,668750.0,65.65883927485096,False,20
B16 0,128,280000.0,299745.6640625,172000.0,402500.0,46.40467210122886,False,20
B16 8,116,200000.0,222508.49137931035,134250.0,291250.0,22.885995863243703,False,20
B16 9,135,222500.0,292640.1111111111,154750.0,360000.0,29.413553960335808,False,20
B17 0,295,285000.0,336894.50169491523,208000.0,384500.0,47.773451758121425,False,20
B17 8,230,320000.0,399207.23913043475,184250.0,457500.0,56.54580849251734,False,20
B17 9,352,367500.0,399121.5965909091,254750.0,540000.0,66.61394330210489,False,20
B18 4,66,145250.0,148588.5606060606,120500.0,163750.0,8.559435454434846,False,20
B18 5,61,165000.0,169386.88524590165,135000.0,205000.0,13.079450054751184,False,20
B18 6,60,215000.0,221165.93333333332,167250.0,230000.0,26.998418299063147,False,20
B18 7,29,185000.0,176448.27586206896,175000.0,200000.0,18.432899379486557,False,20
B19 1,44,175000.0,183617.72727272726,140000.0,238500.0,15.500669181165591,False,20
